,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Albania,0.8043799747217609,-0.7229984107075207,0.7489743892874388,-0.5210174224901534,0.059545711946499144,1.9981893113258915,-0.3013322179309152,-1.6716509244039888,-0.041965909781497744,-0.6128320334870617,-0.9532622620112057,-2.874080675574679
Austria,-0.0419465215473836,0.2294018118437839,-0.3254953096627022,-0.44871582405005345,-0.36506901237907646,-0.5821075344081216,-0.3792669612018332,-0.18627004286566198,-0.8298344746747043,1.3988012718428529,-0.33323223102631105,1.1531676009192864
Tyrol,-0.2424277148293273,0.7022908373336937,-0.4562328763250186,-0.23124699400796297,-0.29364757341898795,-0.2300290906317716,-0.21464635978276925,0.15348165424226695,-0.7704736961428327,2.164380268568699,-0.9830346848506828,0.42269367284043907
Belarus,-0.9653076855426724,-1.6180336753411557,-0.04606709954294961,-0.22261876345963952,-0.5099494734328311,-1.23993431135914,-1.9088260811644215,-0.7043415301844725,0.5682645182660054,0.3350262320871948,0.41522700019409503,0.6292389886366665
Belgium,-0.40543189517237244,1.3184046958155842,0.1221898883340624,-0.07077103802505275,-0.3596626094417836,-0.13643788971710644,0.294743942449319,-0.06624665961241183,0.06458963673219892,-0.8031404599902007,-0.11591451029458728,0.5216264035518408
Bosnia-Herzegovina,-0.1415207545408305,-1.7684513933413757,2.383273356763284,-0.9376612795783191,0.031431913149670934,-0.8434134311541662,1.6153020422403832,1.168207963456435,0.6581780829537267,0.2275447355307905,-0.03111951274771396,1.2581654570330414
Bosniaks,-0.23170163969319268,-1.7285838238802314,2.4242727364900314,-0.9219162188934374,-0.2818227909327699,-1.1473825753895133,1.6625752553072972,0.8661992591883388,0.6071799382235529,0.650129070202746,-0.1554755860694865,-0.4480460474427202
Bosnian Croats,-0.45053441758372875,-1.6825566427502152,3.318135890103473,-1.4428681424201606,-0.751308771617722,-1.5868555539303468,2.2585686935626965,1.2026737180665275,0.10390139252161137,-1.2527068237744148,-0.8816056911082819,0.5440161873470235
Bosnian Serbs,0.11771409417784308,-1.0510246151130902,1.352040130262896,-1.1752085126006289,-0.09272895794993337,1.1973953050870931,0.1755726252826791,1.0175206332149211,-0.3661066904958603,-1.4360729263123544,-0.2402862017251118,-2.2253372681164456
Bulgaria,0.7073743908401817,-0.7906060267830074,0.46547628106893973,-0.9423846239475997,-0.25338712073276737,0.3659462500660146,-0.09115668835067572,-0.8834661938456269,-0.562917038377034,-0.5436010338129055,1.5029739879924817,0.8556692224815825
Croatia,-0.2535901989867202,-1.283972222999747,1.3411843473672298,-0.8603958222621918,-0.24515573167581053,-0.8640279449453062,0.3188229961425158,0.035982375373206296,0.4425479836812506,0.39104335674928475,-0.17347950387361863,-0.03925935942170012
Czech Republic,-0.6329776639018859,-0.07789420549279924,-0.3981682427141111,-1.0368852422906774,-0.5905893295371532,-0.6614591729420628,-1.561199698315031,0.2673080508847398,-0.6837999080640297,0.07118580568405748,-0.7140216428973012,0.9250811824038218
